datetime,kp
2012-07-08 06:03:32,0.901875
2012-07-08 06:13:32,0.903372
2012-07-08 06:23:33,0.904838
2012-07-08 06:33:33,0.906271
2012-07-08 06:43:33,0.907655
2012-07-08 06:53:33,0.909
2012-07-08 07:03:33,0.910295
2012-07-08 07:13:33,0.911539
2012-07-08 07:23:33,0.912726
2012-07-08 07:33:33,0.913864
2012-07-08 07:43:33,0.914938
2012-07-08 07:53:33,0.915958
2012-07-08 08:03:33,0.91692
2012-07-08 08:13:33,0.917813
2012-07-08 08:23:33,0.918635
2012-07-08 08:33:33,0.919399
2012-07-08 08:43:33,0.920086
2012-07-08 08:53:33,0.920703
2012-07-08 09:03:33,0.921251
2012-07-08 09:13:33,0.921716
2012-07-08 09:23:33,0.922109
2012-07-08 09:33:32,0.922424
2012-07-08 09:43:32,0.922663
2012-07-08 09:53:32,0.922818
2012-07-08 10:03:32,0.922892
2012-07-08 10:13:32,0.92288
2012-07-08 10:23:32,0.922791
2012-07-08 10:33:32,0.922615
2012-07-08 10:43:32,0.922353
2012-07-08 10:53:32,0.922004
2012-07-08 11:03:32,0.921563
2012-07-08 11:13:32,0.921035
2012-07-08 11:23:32,0.920417
2012-07-08 11:33:32,0.91971
2012-07-08 11:43:32,0.918911
2012-07-08 11:53:32,0.918014
2012-07-08 12:03:32,0.917032
2012-07-08 12:13:32,0.915953
2012-07-08 12:23:32,0.914786
2012-07-08 12:33:32,0.913522
2012-07-08 12:43:32,0.912168
2012-07-08 12:53:32,0.910725
2012-07-08 13:03:32,0.909185
2012-07-08 13:13:32,0.907557
2012-07-08 13:23:32,0.905845
2012-07-08 13:33:33,0.904036
2012-07-08 13:43:33,0.902149
2012-07-08 13:53:33,0.900177
2012-07-08 14:03:33,0.898117
2012-07-08 14:13:33,0.89598
2012-07-08 14:23:33,0.89377
2012-07-08 14:33:33,0.891485
2012-07-08 14:43:33,0.889129
2012-07-08 14:53:33,0.886703
2012-07-08 15:03:33,0.884217
2012-07-08 15:13:33,0.88168
2012-07-08 15:23:33,0.87908
2012-07-08 15:33:33,0.876439
2012-07-08 15:43:33,0.873752
2012-07-08 15:53:33,0.871027
2012-07-08 16:03:33,0.86827
2012-07-08 16:13:33,0.865492
2012-07-08 16:23:33,0.862694
